[2018-05-29 00:00:34,539]-logger.py]-INFO:点击登录
[2018-05-29 00:00:35,363]-logger.py]-INFO:点击GPS查询
[2018-05-29 00:00:39,850]-logger.py]-INFO:选择客货运车辆
[2018-05-29 00:00:41,699]-logger.py]-INFO:选择黄色
[2018-05-29 00:00:45,604]-logger.py]-INFO:点击车牌下拉框
[2018-05-29 00:00:45,856]-logger.py]-INFO:点击确定
[2018-05-29 00:00:46,513]-logger.py]-INFO:输入车牌号码
[2018-05-29 00:00:46,831]-logger.py]-INFO:点击查询位置信息
[2018-05-29 00:00:52,219]-logger.py]-INFO:向下滑动
[2018-05-29 00:00:53,053]-logger.py]-INFO:点击车辆信息
[2018-05-29 00:00:54,800]-logger.py]-INFO:向下滑动
[2018-05-29 00:00:58,758]-logger.py]-INFO:点击业户
[2018-05-29 00:01:04,107]-logger.py]-INFO:点击返回
[2018-05-29 00:01:04,828]-logger.py]-INFO:点击违章 
[2018-05-29 00:01:05,635]-logger.py]-INFO:点击返回主界面
[2018-05-29 00:01:06,177]-logger.py]-INFO:点击拍照
[2018-05-29 00:01:08,236]-logger.py]-INFO:手机返回键
[2018-05-29 00:04:43,337]-logger.py]-INFO:点击登录
[2018-05-29 00:04:44,974]-logger.py]-INFO:点击GPS查询
[2018-05-29 00:04:49,508]-logger.py]-INFO:选择客货运车辆
[2018-05-29 00:04:51,211]-logger.py]-INFO:选择黄色
[2018-05-29 00:04:55,197]-logger.py]-INFO:点击车牌下拉框
[2018-05-29 00:04:55,431]-logger.py]-INFO:点击确定
[2018-05-29 00:04:56,127]-logger.py]-INFO:输入车牌号码
[2018-05-29 00:04:56,383]-logger.py]-INFO:点击查询位置信息
[2018-05-29 00:05:01,811]-logger.py]-INFO:向下滑动
[2018-05-29 00:05:02,698]-logger.py]-INFO:点击车辆信息
[2018-05-29 00:05:04,345]-logger.py]-INFO:向下滑动
[2018-05-29 00:05:08,316]-logger.py]-INFO:点击业户
[2018-05-29 00:05:13,712]-logger.py]-INFO:点击返回
[2018-05-29 00:05:14,386]-logger.py]-INFO:点击违章 
[2018-05-29 00:05:15,062]-logger.py]-INFO:点击返回主界面
[2018-05-29 00:05:15,640]-logger.py]-INFO:点击拍照
[2018-05-29 00:05:17,697]-logger.py]-INFO:手机返回键
[2018-05-29 00:05:35,851]-logger.py]-INFO:点击登录
[2018-05-29 00:05:36,856]-logger.py]-INFO:点击GPS查询
[2018-05-29 00:05:42,616]-logger.py]-INFO:选择客货运车辆
[2018-05-29 00:05:44,394]-logger.py]-INFO:选择黄色
[2018-05-29 00:05:49,581]-logger.py]-INFO:点击车牌下拉框
[2018-05-29 00:05:49,809]-logger.py]-INFO:点击确定
[2018-05-29 00:05:50,661]-logger.py]-INFO:输入车牌号码
[2018-05-29 00:05:50,910]-logger.py]-INFO:点击查询位置图
[2018-05-29 00:05:54,863]-logger.py]-INFO:点击详情信息
[2018-05-29 00:05:58,225]-logger.py]-INFO:点击车辆信息
[2018-05-29 00:06:42,528]-logger.py]-INFO:点击登录
[2018-05-29 00:06:43,580]-logger.py]-INFO:点击GPS查询
[2018-05-29 00:06:48,221]-logger.py]-INFO:选择客货运车辆
[2018-05-29 00:06:49,946]-logger.py]-INFO:选择黄色
[2018-05-29 00:06:55,141]-logger.py]-INFO:点击车牌下拉框
[2018-05-29 00:06:55,412]-logger.py]-INFO:点击确定
[2018-05-29 00:06:56,138]-logger.py]-INFO:输入车牌号码
[2018-05-29 00:06:56,370]-logger.py]-INFO:点击查询位置信息
[2018-05-29 00:07:01,817]-logger.py]-INFO:向下滑动
[2018-05-29 00:07:02,672]-logger.py]-INFO:点击车辆信息
[2018-05-29 00:07:04,194]-logger.py]-INFO:向下滑动
[2018-05-29 00:07:08,084]-logger.py]-INFO:点击业户
[2018-05-29 00:07:13,397]-logger.py]-INFO:点击返回
[2018-05-29 00:07:14,042]-logger.py]-INFO:点击违章 
[2018-05-29 00:07:14,816]-logger.py]-INFO:点击返回主界面
[2018-05-29 00:07:15,326]-logger.py]-INFO:点击拍照
[2018-05-29 00:07:17,393]-logger.py]-INFO:手机返回键
[2018-05-29 00:07:34,920]-logger.py]-INFO:点击登录
[2018-05-29 00:07:35,909]-logger.py]-INFO:点击GPS查询
[2018-05-29 00:07:41,725]-logger.py]-INFO:选择客货运车辆
[2018-05-29 00:07:43,632]-logger.py]-INFO:选择黄色
